scenario,status,sequence_match_percent,timing_match_percent,timing_available,comparison,baseline,candidate,source_report,timing
01066,PASS,96.1,91.9,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
03013,PASS,99.0,90.8,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
05018,PASS,97.9,98.2,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
08042,PASS,98.6,96.5,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
08404,PASS,99.4,96.5,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
08411,PASS,98.6,95.7,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
12035,PASS,95.3,90.7,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
12036,FAIL,75.4,,False,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
12059,PASS,99.1,98.4,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
13008,PASS,98.6,96.6,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
13010,PASS,98.9,90.1,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B009,PASS,97.9,92.4,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B045,FAIL,87.7,,False,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B049,PASS,95.4,92.6,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B052,PASS,98.6,92.0,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B054,FAIL,98.7,89.0,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B085,FAIL,95.9,87.6,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B094,FAIL,94.8,,False,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B337,PASS,99.9,95.0,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B339,FAIL,84.5,,False,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B349,PASS,97.9,93.7,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2B530,PASS,99.4,95.6,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2C009,PASS,97.6,92.1,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2C042,PASS,99.7,96.1,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
2C043,PASS,99.7,98.6,True,software_release,2.15.1,2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\report.html,
