DeviceId,timestamp,EventId,Parameter
baseline,2026-05-26 08:30:19.400,4,4
baseline,2026-05-26 08:30:19.400,7,4
baseline,2026-05-26 08:30:19.400,8,4
baseline,2026-05-26 08:30:19.400,18,8
baseline,2026-05-26 08:30:19.400,23,4
baseline,2026-05-26 08:30:23.400,9,4
baseline,2026-05-26 08:30:23.400,10,4
baseline,2026-05-26 08:30:25.400,0,8
baseline,2026-05-26 08:30:25.400,11,4
baseline,2026-05-26 08:30:25.400,12,4
baseline,2026-05-26 08:30:25.400,303,38
baseline,2026-05-26 08:30:25.400,619,76
baseline,2026-05-26 08:30:25.500,1,8
baseline,2026-05-26 08:30:25.500,2,8
baseline,2026-05-26 08:30:25.500,15,8
baseline,2026-05-26 08:30:31.400,3,8
baseline,2026-05-26 08:30:31.400,4,8
baseline,2026-05-26 08:30:31.400,7,8
baseline,2026-05-26 08:30:31.400,8,8
baseline,2026-05-26 08:30:31.400,13,8
baseline,2026-05-26 08:30:31.400,18,1
baseline,2026-05-26 08:30:31.400,18,5
baseline,2026-05-26 08:30:35.400,9,8
baseline,2026-05-26 08:30:35.400,10,8
baseline,2026-05-26 08:30:37.400,0,1
baseline,2026-05-26 08:30:37.400,0,5
baseline,2026-05-26 08:30:37.400,11,8
baseline,2026-05-26 08:30:37.400,12,8
baseline,2026-05-26 08:30:37.400,307,12
baseline,2026-05-26 08:30:37.400,612,88
baseline,2026-05-26 08:30:37.400,616,88
baseline,2026-05-26 08:30:37.500,1,1
baseline,2026-05-26 08:30:37.500,1,5
baseline,2026-05-26 08:30:37.500,2,1
baseline,2026-05-26 08:30:37.500,2,5
baseline,2026-05-26 08:30:37.500,15,1
baseline,2026-05-26 08:30:37.500,15,5
baseline,2026-05-26 08:30:40.400,3,1
baseline,2026-05-26 08:30:40.400,3,5
baseline,2026-05-26 08:30:40.400,4,1
baseline,2026-05-26 08:30:40.400,4,5
baseline,2026-05-26 08:30:40.400,7,1
baseline,2026-05-26 08:30:40.400,7,5
baseline,2026-05-26 08:30:40.400,8,1
baseline,2026-05-26 08:30:40.400,8,5
baseline,2026-05-26 08:30:40.400,13,1
baseline,2026-05-26 08:30:40.400,13,5
baseline,2026-05-26 08:30:40.400,18,2
baseline,2026-05-26 08:30:40.400,18,6
baseline,2026-05-26 08:30:44.400,9,1
baseline,2026-05-26 08:30:44.400,9,5
baseline,2026-05-26 08:30:44.400,10,1
baseline,2026-05-26 08:30:44.400,10,5
baseline,2026-05-26 08:30:44.900,0,2
baseline,2026-05-26 08:30:44.900,0,6
baseline,2026-05-26 08:30:44.900,11,1
baseline,2026-05-26 08:30:44.900,11,5
baseline,2026-05-26 08:30:44.900,12,1
baseline,2026-05-26 08:30:44.900,12,5
baseline,2026-05-26 08:30:44.900,300,7
baseline,2026-05-26 08:30:44.900,304,7
baseline,2026-05-26 08:30:44.900,613,63
baseline,2026-05-26 08:30:44.900,617,63
baseline,2026-05-26 08:30:45.000,1,2
baseline,2026-05-26 08:30:45.000,1,6
baseline,2026-05-26 08:30:54.900,3,2
baseline,2026-05-26 08:30:54.900,3,6
baseline,2026-05-26 08:30:54.900,13,2
baseline,2026-05-26 08:30:54.900,13,6
new,2026-05-26 08:32:27.100,23,2
new,2026-05-26 08:32:29.100,4,2
new,2026-05-26 08:32:29.100,4,6
new,2026-05-26 08:32:29.100,7,2
new,2026-05-26 08:32:29.100,7,6
new,2026-05-26 08:32:29.100,8,2
new,2026-05-26 08:32:29.100,8,6
new,2026-05-26 08:32:29.100,18,4
new,2026-05-26 08:32:29.100,23,6
new,2026-05-26 08:32:33.100,9,2
new,2026-05-26 08:32:33.100,9,6
new,2026-05-26 08:32:33.100,10,2
new,2026-05-26 08:32:33.100,10,6
new,2026-05-26 08:32:34.100,0,4
new,2026-05-26 08:32:34.100,11,2
new,2026-05-26 08:32:34.100,11,6
new,2026-05-26 08:32:34.100,12,2
new,2026-05-26 08:32:34.100,12,6
new,2026-05-26 08:32:34.100,21,4
new,2026-05-26 08:32:34.100,301,39
new,2026-05-26 08:32:34.100,305,39
new,2026-05-26 08:32:34.100,615,38
new,2026-05-26 08:32:34.200,2,4
new,2026-05-26 08:32:39.100,1,4
new,2026-05-26 08:32:39.100,22,4
new,2026-05-26 08:32:39.200,15,4
new,2026-05-26 08:32:45.100,3,4
new,2026-05-26 08:32:45.100,13,4
new,2026-05-26 08:33:06.100,4,4
new,2026-05-26 08:33:06.100,7,4
new,2026-05-26 08:33:06.100,8,4
new,2026-05-26 08:33:06.100,18,8
new,2026-05-26 08:33:06.100,23,4
new,2026-05-26 08:33:10.100,9,4
new,2026-05-26 08:33:10.100,10,4
new,2026-05-26 08:33:12.100,0,8
new,2026-05-26 08:33:12.100,1,8
new,2026-05-26 08:33:12.100,11,4
new,2026-05-26 08:33:12.100,12,4
new,2026-05-26 08:33:12.100,303,38
new,2026-05-26 08:33:12.100,619,76
new,2026-05-26 08:33:12.200,2,8
new,2026-05-26 08:33:12.200,15,8
new,2026-05-26 08:33:18.100,3,8
new,2026-05-26 08:33:18.100,4,8
new,2026-05-26 08:33:18.100,7,8
new,2026-05-26 08:33:18.100,8,8
new,2026-05-26 08:33:18.100,13,8
new,2026-05-26 08:33:18.100,18,1
new,2026-05-26 08:33:18.100,18,5
new,2026-05-26 08:33:22.100,9,8
new,2026-05-26 08:33:22.100,10,8
new,2026-05-26 08:33:24.100,0,1
new,2026-05-26 08:33:24.100,0,5
new,2026-05-26 08:33:24.100,1,1
new,2026-05-26 08:33:24.100,1,5
new,2026-05-26 08:33:24.100,11,8
new,2026-05-26 08:33:24.100,12,8
new,2026-05-26 08:33:24.100,307,12
new,2026-05-26 08:33:24.100,612,88
new,2026-05-26 08:33:24.100,616,88
new,2026-05-26 08:33:24.200,2,1
new,2026-05-26 08:33:24.200,2,5
new,2026-05-26 08:33:24.200,15,1
new,2026-05-26 08:33:24.200,15,5
new,2026-05-26 08:33:27.100,3,1
new,2026-05-26 08:33:27.100,3,5
new,2026-05-26 08:33:27.100,4,1
new,2026-05-26 08:33:27.100,4,5
new,2026-05-26 08:33:27.100,7,1
new,2026-05-26 08:33:27.100,7,5
new,2026-05-26 08:33:27.100,8,1
new,2026-05-26 08:33:27.100,8,5
new,2026-05-26 08:33:27.100,13,1
new,2026-05-26 08:33:27.100,13,5
new,2026-05-26 08:33:27.100,18,2
new,2026-05-26 08:33:27.100,18,6
new,2026-05-26 08:33:31.100,9,1
new,2026-05-26 08:33:31.100,9,5
new,2026-05-26 08:33:31.100,10,1
new,2026-05-26 08:33:31.100,10,5
new,2026-05-26 08:33:31.600,0,2
new,2026-05-26 08:33:31.600,0,6
new,2026-05-26 08:33:31.600,1,2
new,2026-05-26 08:33:31.600,1,6
new,2026-05-26 08:33:31.600,11,1
new,2026-05-26 08:33:31.600,11,5
new,2026-05-26 08:33:31.600,12,1
new,2026-05-26 08:33:31.600,12,5
new,2026-05-26 08:33:31.600,300,7
new,2026-05-26 08:33:31.600,304,7
new,2026-05-26 08:33:31.600,613,57
new,2026-05-26 08:33:31.600,617,57
new,2026-05-26 08:33:41.600,3,2
new,2026-05-26 08:33:41.600,3,6
new,2026-05-26 08:33:41.600,13,2
new,2026-05-26 08:33:41.600,13,6
new,2026-05-26 09:03:10.900,82,18
new,2026-05-26 09:03:11.000,81,40
new,2026-05-26 09:03:11.000,82,53
new,2026-05-26 09:03:11.500,81,18
new,2026-05-26 09:03:11.600,81,51
new,2026-05-26 09:03:13.100,82,54
new,2026-05-26 09:03:13.300,81,54
new,2026-05-26 09:03:13.900,82,20
new,2026-05-26 09:03:14.300,82,2
new,2026-05-26 09:03:14.400,43,2
new,2026-05-26 09:03:14.700,82,54
new,2026-05-26 09:03:14.800,81,50
new,2026-05-26 09:03:14.900,81,4
new,2026-05-26 09:03:14.900,81,20
new,2026-05-26 09:03:14.900,81,53
new,2026-05-26 09:03:14.900,81,54
new,2026-05-26 09:03:15.000,44,4
new,2026-05-26 09:03:15.900,4,4
new,2026-05-26 09:03:15.900,7,4
new,2026-05-26 09:03:15.900,8,4
new,2026-05-26 09:03:15.900,13,4
new,2026-05-26 09:03:15.900,18,8
new,2026-05-26 09:03:18.800,82,33
new,2026-05-26 09:03:18.900,81,33
new,2026-05-26 09:03:19.900,9,4
new,2026-05-26 09:03:19.900,10,4
new,2026-05-26 09:03:20.000,81,2
new,2026-05-26 09:03:20.100,44,2
new,2026-05-26 09:03:20.200,82,33
new,2026-05-26 09:03:20.400,81,33
new,2026-05-26 09:03:20.400,82,2
new,2026-05-26 09:03:20.500,43,2
new,2026-05-26 09:03:21.300,82,43
new,2026-05-26 09:03:21.900,0,8
new,2026-05-26 09:03:21.900,1,8
new,2026-05-26 09:03:21.900,11,4
new,2026-05-26 09:03:21.900,12,4
new,2026-05-26 09:03:21.900,31,2
new,2026-05-26 09:03:21.900,303,31
new,2026-05-26 09:03:21.900,619,65
new,2026-05-26 09:03:22.000,2,8
new,2026-05-26 09:03:22.000,15,8
new,2026-05-26 09:03:22.200,82,50
new,2026-05-26 09:03:22.300,82,4
new,2026-05-26 09:03:22.400,43,4
new,2026-05-26 09:03:23.800,82,36
new,2026-05-26 09:03:25.100,82,51
new,2026-05-26 09:03:25.900,82,19
new,2026-05-26 09:03:26.600,82,48
new,2026-05-26 09:03:26.700,81,19
new,2026-05-26 09:03:26.800,81,48
new,2026-05-26 09:03:26.900,81,47
new,2026-05-26 09:03:27.000,81,8
new,2026-05-26 09:03:27.100,44,8
new,2026-05-26 09:03:27.900,3,8
new,2026-05-26 09:03:29.000,4,8
new,2026-05-26 09:03:29.000,7,8
new,2026-05-26 09:03:29.000,8,8
new,2026-05-26 09:03:29.000,13,8
new,2026-05-26 09:03:29.000,18,2
new,2026-05-26 09:03:29.000,18,5
new,2026-05-26 09:03:30.100,82,52
new,2026-05-26 09:03:30.300,81,52
new,2026-05-26 09:03:30.900,81,51
new,2026-05-26 09:03:33.000,9,8
new,2026-05-26 09:03:33.000,10,8
new,2026-05-26 09:03:33.800,82,53
new,2026-05-26 09:03:35.000,0,2
new,2026-05-26 09:03:35.000,0,5
new,2026-05-26 09:03:35.000,1,2
new,2026-05-26 09:03:35.000,1,5
new,2026-05-26 09:03:35.000,11,8
new,2026-05-26 09:03:35.000,12,8
new,2026-05-26 09:03:35.000,31,3
new,2026-05-26 09:03:35.000,307,13
new,2026-05-26 09:03:35.000,613,46
new,2026-05-26 09:03:35.000,616,74
new,2026-05-26 09:03:35.100,2,2
new,2026-05-26 09:03:35.100,2,5
new,2026-05-26 09:03:35.100,15,2
new,2026-05-26 09:03:35.100,15,5
new,2026-05-26 09:03:35.100,317,101
new,2026-05-26 09:03:35.100,318,0
new,2026-05-26 09:03:35.200,50,1
new,2026-05-26 09:03:35.200,50,4
new,2026-05-26 09:03:35.200,50,8
new,2026-05-26 09:03:36.900,82,33
new,2026-05-26 09:03:37.100,81,33
new,2026-05-26 09:03:38.000,3,5
new,2026-05-26 09:03:38.600,82,39
new,2026-05-26 09:03:38.700,81,39
new,2026-05-26 09:03:38.800,81,38
new,2026-05-26 09:03:39.100,81,36
new,2026-05-26 09:03:39.200,82,37
new,2026-05-26 09:03:39.400,81,37
new,2026-05-26 09:03:40.400,81,2
new,2026-05-26 09:03:40.500,44,2
new,2026-05-26 09:03:40.500,82,38
new,2026-05-26 09:03:40.800,82,2
new,2026-05-26 09:03:40.900,43,2
new,2026-05-26 09:03:41.400,81,2
new,2026-05-26 09:03:41.500,44,2
new,2026-05-26 09:03:41.900,82,2
new,2026-05-26 09:03:42.000,43,2
new,2026-05-26 09:03:42.300,81,2
new,2026-05-26 09:03:42.300,82,39
new,2026-05-26 09:03:42.400,44,2
new,2026-05-26 09:03:42.500,81,39
new,2026-05-26 09:03:42.600,81,38
new,2026-05-26 09:03:42.600,82,2
new,2026-05-26 09:03:42.600,82,34
new,2026-05-26 09:03:42.700,43,2
new,2026-05-26 09:03:43.100,82,38
new,2026-05-26 09:03:43.600,82,33
new,2026-05-26 09:03:43.600,82,35
new,2026-05-26 09:03:43.800,81,33
new,2026-05-26 09:03:43.800,81,34
new,2026-05-26 09:03:43.800,81,35
new,2026-05-26 09:03:44.500,16,5
new,2026-05-26 09:03:44.700,82,39
new,2026-05-26 09:03:44.900,81,39
new,2026-05-26 09:03:45.000,3,2
new,2026-05-26 09:03:45.200,81,5
new,2026-05-26 09:03:45.200,81,38
new,2026-05-26 09:03:45.300,44,5
new,2026-05-26 09:03:46.200,4,5
new,2026-05-26 09:03:46.200,7,5
new,2026-05-26 09:03:46.200,8,5
new,2026-05-26 09:03:46.200,13,5
new,2026-05-26 09:03:46.200,18,6
new,2026-05-26 09:03:46.600,81,2
new,2026-05-26 09:03:46.600,82,19
new,2026-05-26 09:03:46.700,44,2
new,2026-05-26 09:03:47.300,81,19
new,2026-05-26 09:03:47.800,82,36
new,2026-05-26 09:03:48.700,81,36
new,2026-05-26 09:03:48.700,82,37
new,2026-05-26 09:03:48.900,81,37
new,2026-05-26 09:03:49.100,13,2
new,2026-05-26 09:03:50.200,9,5
new,2026-05-26 09:03:50.200,10,5
new,2026-05-26 09:03:50.700,0,6
new,2026-05-26 09:03:50.700,1,6
new,2026-05-26 09:03:50.700,11,5
new,2026-05-26 09:03:50.700,12,5
new,2026-05-26 09:03:50.700,304,15
new,2026-05-26 09:03:50.700,617,59
new,2026-05-26 09:03:50.800,2,6
new,2026-05-26 09:03:50.800,15,6
new,2026-05-26 09:03:55.200,82,19
new,2026-05-26 09:03:55.400,82,40
new,2026-05-26 09:03:55.600,81,40
new,2026-05-26 09:03:55.900,81,19
new,2026-05-26 09:03:56.000,82,2
new,2026-05-26 09:03:56.100,43,2
new,2026-05-26 09:03:56.200,81,41
new,2026-05-26 09:03:56.200,82,42
new,2026-05-26 09:03:56.400,81,42
new,2026-05-26 09:03:57.200,82,33
new,2026-05-26 09:03:57.400,81,33
new,2026-05-26 09:03:57.400,81,43
new,2026-05-26 09:03:57.600,82,18
new,2026-05-26 09:03:57.800,82,40
new,2026-05-26 09:03:57.900,81,40
new,2026-05-26 09:03:58.100,81,18
new,2026-05-26 09:03:58.300,82,20
new,2026-05-26 09:03:58.900,81,20
new,2026-05-26 09:03:59.900,82,20
new,2026-05-26 09:04:00.300,81,20
new,2026-05-26 09:04:00.700,3,6
new,2026-05-26 09:04:00.800,81,2
new,2026-05-26 09:04:00.900,44,2
new,2026-05-26 09:04:01.100,82,19
new,2026-05-26 09:04:01.300,82,40
new,2026-05-26 09:04:01.300,82,41
new,2026-05-26 09:04:01.400,81,40
new,2026-05-26 09:04:01.600,81,19
new,2026-05-26 09:04:01.600,82,36
new,2026-05-26 09:04:02.300,82,43
new,2026-05-26 09:04:02.400,81,36
new,2026-05-26 09:04:02.400,82,37
new,2026-05-26 09:04:02.500,81,41
new,2026-05-26 09:04:02.500,82,42
new,2026-05-26 09:04:02.600,81,37
new,2026-05-26 09:04:02.700,13,2
new,2026-05-26 09:04:02.700,81,42
new,2026-05-26 09:04:03.300,82,20
new,2026-05-26 09:04:03.600,81,43
new,2026-05-26 09:04:03.600,82,44
new,2026-05-26 09:04:03.800,81,20
new,2026-05-26 09:04:03.800,81,44
new,2026-05-26 09:04:04.400,81,6
new,2026-05-26 09:04:04.500,44,6
new,2026-05-26 09:04:05.800,82,41
new,2026-05-26 09:04:06.800,4,2
new,2026-05-26 09:04:06.800,4,6
new,2026-05-26 09:04:06.800,7,2
new,2026-05-26 09:04:06.800,7,6
new,2026-05-26 09:04:06.800,8,2
new,2026-05-26 09:04:06.800,8,6
new,2026-05-26 09:04:06.800,13,6
new,2026-05-26 09:04:06.800,18,4
new,2026-05-26 09:04:06.800,82,19
new,2026-05-26 09:04:06.900,43,6
new,2026-05-26 09:04:07.000,82,42
new,2026-05-26 09:04:07.100,81,41
new,2026-05-26 09:04:07.200,81,42
new,2026-05-26 09:04:07.900,81,19
new,2026-05-26 09:04:08.000,44,6
new,2026-05-26 09:04:10.800,9,2
new,2026-05-26 09:04:10.800,9,6
new,2026-05-26 09:04:10.800,10,2
new,2026-05-26 09:04:10.800,10,6
new,2026-05-26 09:04:11.800,0,4
new,2026-05-26 09:04:11.800,1,4
new,2026-05-26 09:04:11.800,11,2
new,2026-05-26 09:04:11.800,11,6
new,2026-05-26 09:04:11.800,12,2
new,2026-05-26 09:04:11.800,12,6
new,2026-05-26 09:04:11.800,31,1
new,2026-05-26 09:04:11.800,301,36
new,2026-05-26 09:04:11.800,305,21
new,2026-05-26 09:04:11.800,615,49
new,2026-05-26 09:04:11.900,2,4
new,2026-05-26 09:04:11.900,15,4
new,2026-05-26 09:04:16.600,82,54
new,2026-05-26 09:04:16.800,81,54
new,2026-05-26 09:04:16.900,81,53
new,2026-05-26 09:04:17.800,3,4
new,2026-05-26 09:04:19.100,82,53
new,2026-05-26 09:04:20.700,82,54
new,2026-05-26 09:04:20.900,81,53
new,2026-05-26 09:04:20.900,81,54
new,2026-05-26 09:04:21.400,82,53
new,2026-05-26 09:04:23.100,81,50
new,2026-05-26 09:04:23.100,81,53
new,2026-05-26 09:04:23.200,81,4
new,2026-05-26 09:04:23.300,44,4
new,2026-05-26 09:04:24.800,4,4
new,2026-05-26 09:04:24.800,7,4
new,2026-05-26 09:04:24.800,8,4
new,2026-05-26 09:04:24.800,13,4
